Average State Income,Contact Method,Age Group,Gender,Scam Category,Scam Type,Amount_lost,State_New South Wales,State_Northern Territory,State_Queensland,State_South Australia,State_Tasmania,State_Victoria,State_Western Australia,Actual_Number_of_Reports,Predicted_Number_of_Reports
2094.3,0.23430144773070433,4.0,0,0.2981170619060307,0.045607958077982055,,0,0,0,0,0,0,1,1,1.077595238095238
1710.8,0.09960920152766675,2.0,1,0.09849897859490185,0.09849897859490185,,0,0,0,0,1,0,0,1,1.06
1901.0,0.20330402344790835,4.0,1,0.027267075228705924,0.027267075228705924,,0,0,1,0,0,0,0,3,2.3394523809523804
2094.3,0.19690913935518253,1.0,1,0.2981170619060307,0.06510347277733369,745.77,0,0,0,0,0,0,1,1,1.4495833333333334
1901.0,0.19690913935518253,3.0,0,0.33195665689670484,0.07287503330668799,4665.0,0,0,1,0,0,0,0,1,3.02
1935.7,0.06297184474642509,5.0,0,0.2981170619060307,0.09965361044497735,,1,0,0,0,0,0,0,1,1.0866666666666667
1882.0,0.06297184474642509,2.0,0,0.33195665689670484,0.09761080024868994,0.0,0,0,0,0,0,1,0,1,1.13
1935.7,0.19690913935518253,3.0,1,0.09849897859490185,0.09849897859490185,,1,0,0,0,0,0,0,12,9.135809523809522
1882.0,0.23430144773070433,6.0,1,0.33195665689670484,0.09272581934452438,,0,0,0,0,0,1,0,29,48.96327777777778
1901.0,0.23430144773070433,6.0,0,0.06306066258104627,0.00572875033306688,,0,0,1,0,0,0,0,1,1.6013571428571427
1935.7,0.23430144773070433,3.0,1,0.2981170619060307,0.06510347277733369,157.0,1,0,0,0,0,0,0,4,6.202333333333334
1776.9,0.09960920152766675,2.0,1,0.2981170619060307,0.08775202060573763,,0,0,0,1,0,0,0,1,1.04
1882.0,0.02602362554400924,4.0,1,0.09849897859490185,0.09849897859490185,,0,0,0,0,0,1,0,2,1.7186666666666666
1845.8,0.09960920152766675,6.0,0,0.33195665689670484,0.09761080024868994,,0,1,0,0,0,0,0,1,1.24
1882.0,0.20330402344790835,4.0,1,0.33195665689670484,0.09272581934452438,,0,0,0,0,0,1,0,46,14.103543650793648
1901.0,0.14175326405542232,1.0,0,0.027267075228705924,0.027267075228705924,74.0,0,0,1,0,0,0,0,1,1.1366666666666665
1882.0,0.20330402344790835,4.0,0,0.33195665689670484,0.09272581934452438,,0,0,0,0,0,1,0,9,18.682834748584742
1882.0,0.033084643396394,6.0,1,0.33195665689670484,0.09272581934452438,0.0,0,0,0,0,0,1,0,1,1.095
2126.5,0.19690913935518253,4.0,1,0.2981170619060307,0.045607958077982055,,0,0,0,0,0,0,0,1,1.4536904761904763
2126.5,0.14175326405542232,1.0,0,0.33195665689670484,0.07287503330668799,1266.5,0,0,0,0,0,0,0,3,1.23
1776.9,0.06297184474642509,4.0,1,0.09849897859490185,0.09849897859490185,,0,0,0,1,0,0,0,1,1.029047619047619
2094.3,0.20330402344790835,4.0,1,0.33195665689670484,0.07287503330668799,0.0,0,0,0,0,0,0,1,1,1.425
1901.0,0.09960920152766675,3.0,1,0.09849897859490185,0.09849897859490185,,0,0,1,0,0,0,0,1,1.1202380952380953
1882.0,0.23430144773070433,6.0,0,0.33195665689670484,0.09761080024868994,118.09,0,0,0,0,0,1,0,10,10.476500000000003
1935.7,0.20330402344790835,5.0,0,0.05671018740563105,0.03250732747135625,0.0,1,0,0,0,0,0,0,1,4.74877380952381
1935.7,0.19690913935518253,1.0,0,0.2981170619060307,0.08775202060573763,,1,0,0,0,0,0,0,2,2.1345
1882.0,0.09960920152766675,4.0,1,0.33195665689670484,0.09761080024868994,808.67,0,0,0,0,0,1,0,5,6.21
1935.7,0.14175326405542232,6.0,1,0.09849897859490185,0.09849897859490185,,1,0,0,0,0,0,0,2,1.3574523809523809
1935.7,0.19690913935518253,6.0,0,0.05671018740563105,0.024202859934274804,,1,0,0,0,0,0,0,1,1.8653333333333333
2094.3,0.19690913935518253,5.0,0,0.33195665689670484,0.02375877076116884,,0,0,0,0,0,0,1,1,1.0523333333333336
1901.0,0.033084643396394,3.0,1,0.2981170619060307,0.06510347277733369,,0,0,1,0,0,0,0,1,1.2833333333333332
1901.0,0.033084643396394,6.0,0,0.2981170619060307,0.09965361044497735,,0,0,1,0,0,0,0,1,1.0083333333333333
2094.3,0.20330402344790835,2.0,1,0.2981170619060307,0.08775202060573763,,0,0,0,0,0,0,1,1,2.1030714285714285
1935.7,0.23430144773070433,1.0,1,0.33195665689670484,0.09761080024868994,198.15,1,0,0,0,0,0,0,3,1.645833333333333
1935.7,0.06297184474642509,2.0,1,0.33195665689670484,0.07287503330668799,350.0,1,0,0,0,0,0,0,1,1.38
1882.0,0.09960920152766675,6.0,0,0.33195665689670484,0.09272581934452438,,0,0,0,0,0,1,0,3,1.5110476190476192
1776.9,0.20330402344790835,1.0,1,0.2981170619060307,0.09965361044497735,,0,0,0,1,0,0,0,6,1.765761904761905
1882.0,0.14175326405542232,5.0,1,0.33195665689670484,0.02375877076116884,339.75,0,0,0,0,0,1,0,1,1.38
1882.0,0.06297184474642509,4.0,0,0.33195665689670484,0.07287503330668799,,0,0,0,0,0,1,0,1,1.4440714285714287
1901.0,0.14175326405542232,5.0,1,0.027267075228705924,0.027267075228705924,,0,0,1,0,0,0,0,1,1.7
1935.7,0.20330402344790835,0.0,0,0.33195665689670484,0.09272581934452438,,1,0,0,0,0,0,0,1,1.1904166666666667
1776.9,0.14175326405542232,2.0,1,0.33195665689670484,0.09761080024868994,153.7,0,0,0,1,0,0,0,2,2.56
2126.5,0.23430144773070433,1.0,1,0.049737987387867486,0.033084643396394,,0,0,0,0,0,0,0,1,1.08
1901.0,0.14175326405542232,3.0,1,0.09849897859490185,0.09849897859490185,,0,0,1,0,0,0,0,1,1.6737146464646464
1935.7,0.23430144773070433,4.0,1,0.2981170619060307,0.09965361044497735,,1,0,0,0,0,0,0,31,31.690289682539674
1901.0,0.23430144773070433,5.0,1,0.027267075228705924,0.027267075228705924,,0,0,1,0,0,0,0,1,2.5392272727272736
1776.9,0.09960920152766675,3.0,1,0.33195665689670484,0.09761080024868994,194.68,0,0,0,1,0,0,0,5,3.03
1901.0,0.20330402344790835,5.0,0,0.33195665689670484,0.07287503330668799,1200.0,0,0,1,0,0,0,0,2,3.18
1776.9,0.23430144773070433,3.0,1,0.2981170619060307,0.09965361044497735,,0,0,0,1,0,0,0,1,1.9060277777777777
1901.0,0.20330402344790835,6.0,0,0.33195665689670484,0.09272581934452438,0.0,0,0,1,0,0,0,0,15,34.06309523809523
1882.0,0.23430144773070433,6.0,0,0.33195665689670484,0.02655653255173639,,0,0,0,0,0,1,0,6,2.6446666666666663
1882.0,0.19690913935518253,5.0,1,0.33195665689670484,0.09761080024868994,,0,0,0,0,0,1,0,2,1.2563095238095239
1935.7,0.14175326405542232,4.0,1,0.2981170619060307,0.09965361044497735,,1,0,0,0,0,0,0,1,1.9416666666666667
1901.0,0.19690913935518253,6.0,1,0.2981170619060307,0.09965361044497735,20000.0,0,0,1,0,0,0,0,25,26.518261904761903
1901.0,0.19690913935518253,6.0,0,0.2981170619060307,0.06510347277733369,,0,0,1,0,0,0,0,3,4.090904761904763
2094.3,0.19690913935518253,3.0,1,0.33195665689670484,0.09272581934452438,,0,0,0,0,0,0,1,1,2.3705873015873022
2094.3,0.033084643396394,6.0,1,0.09849897859490185,0.09849897859490185,,0,0,0,0,0,0,1,1,1.2725
1935.7,0.06297184474642509,1.0,1,0.2981170619060307,0.08775202060573763,,1,0,0,0,0,0,0,1,1.1727976190476186
2094.3,0.09960920152766675,4.0,1,0.33195665689670484,0.09761080024868994,1100.0,0,0,0,0,0,0,1,2,3.03
1776.9,0.14175326405542232,6.0,0,0.2981170619060307,0.09965361044497735,16.39,0,0,0,1,0,0,0,1,1.238
1776.9,0.23430144773070433,3.0,1,0.33195665689670484,0.07287503330668799,0.0,0,0,0,1,0,0,0,1,1.1624285714285714
2094.3,0.14175326405542232,1.0,1,0.33195665689670484,0.09761080024868994,60.9,0,0,0,0,0,0,1,1,1.606666666666667
2126.5,0.20330402344790835,3.0,1,0.2981170619060307,0.09965361044497735,,0,0,0,0,0,0,0,6,7.402218253968254
2094.3,0.033084643396394,3.0,0,0.09849897859490185,0.09849897859490185,0.0,0,0,0,0,0,0,1,1,1.1475
1901.0,0.23430144773070433,2.0,1,0.027267075228705924,0.027267075228705924,,0,0,1,0,0,0,0,1,1.6286666666666667
1882.0,0.20330402344790835,5.0,0,0.33195665689670484,0.07287503330668799,,0,0,0,0,0,1,0,1,1.3124166666666666
1710.8,0.20330402344790835,3.0,1,0.05671018740563105,0.03250732747135625,0.0,0,0,0,0,1,0,0,1,1.0866666666666667
1901.0,0.09960920152766675,6.0,0,0.03543831601385558,0.03543831601385558,0.0,0,0,1,0,0,0,0,1,1.3075
1935.7,0.23430144773070433,6.0,1,0.049737987387867486,0.016653343991473488,,1,0,0,0,0,0,0,5,3.670195526695527
1882.0,0.09960920152766675,3.0,1,0.09849897859490185,0.09849897859490185,89.0,0,0,0,0,0,1,0,2,1.7433333333333332
2094.3,0.09960920152766675,5.0,0,0.2981170619060307,0.045607958077982055,,0,0,0,0,0,0,1,1,1.03
1710.8,0.14175326405542232,5.0,1,0.06306066258104627,0.05733191224797939,380.0,0,0,0,0,1,0,0,1,1.415
1882.0,0.06297184474642509,2.0,1,0.049737987387867486,0.033084643396394,251181.81,0,0,0,0,0,1,0,1,1.55
2126.5,0.23430144773070433,6.0,1,0.2981170619060307,0.06510347277733369,,0,0,0,0,0,0,0,2,1.7017142857142855
1882.0,0.19690913935518253,3.0,0,0.027267075228705924,0.027267075228705924,,0,0,0,0,0,1,0,1,1.01
2094.3,0.09960920152766675,4.0,0,0.2981170619060307,0.08775202060573763,,0,0,0,0,0,0,1,1,1.04
1935.7,0.06297184474642509,2.0,1,0.030375699440447643,0.028244071409539037,3100.0,1,0,0,0,0,0,0,3,2.144
2094.3,0.20330402344790835,6.0,1,0.33195665689670484,0.07287503330668799,,0,0,0,0,0,0,1,1,1.0433333333333334
1901.0,0.14175326405542232,3.0,0,0.33195665689670484,0.07287503330668799,7145.0,0,0,1,0,0,0,0,7,5.51
1901.0,0.20330402344790835,1.0,1,0.05671018740563105,0.024202859934274804,,0,0,1,0,0,0,0,1,1.04
2094.3,0.23430144773070433,4.0,0,0.2981170619060307,0.045607958077982055,,0,0,0,0,0,0,1,2,1.077595238095238
1845.8,0.23430144773070433,5.0,1,0.2981170619060307,0.09965361044497735,0.0,0,1,0,0,0,0,0,4,2.3697721722721714
1710.8,0.23430144773070433,5.0,1,0.2981170619060307,0.09965361044497735,0.0,0,0,0,0,1,0,0,37,26.956091991341992
1776.9,0.23430144773070433,4.0,1,0.2981170619060307,0.08775202060573763,,0,0,0,1,0,0,0,1,1.2741520146520147
2126.5,0.19690913935518253,3.0,1,0.2981170619060307,0.08775202060573763,,0,0,0,0,0,0,0,1,1.2253333333333332
1935.7,0.23430144773070433,5.0,0,0.33195665689670484,0.09761080024868994,901.0,1,0,0,0,0,0,0,4,7.05
1935.7,0.19690913935518253,5.0,0,0.33195665689670484,0.07287503330668799,0.0,1,0,0,0,0,0,0,1,2.2965238095238094
1901.0,0.06297184474642509,1.0,0,0.027267075228705924,0.027267075228705924,,0,0,1,0,0,0,0,1,1.1177936507936508
1935.7,0.20330402344790835,4.0,0,0.09849897859490185,0.09849897859490185,,1,0,0,0,0,0,0,10,8.25797619047619
1935.7,0.19690913935518253,3.0,0,0.049737987387867486,0.033084643396394,,1,0,0,0,0,0,0,2,1.7138333333333333
1882.0,0.20330402344790835,2.0,0,0.2981170619060307,0.08775202060573763,,0,0,0,0,0,1,0,2,3.9144285714285716
1882.0,0.20330402344790835,5.0,0,0.2981170619060307,0.06510347277733369,,0,0,0,0,0,1,0,1,2.0456547619047623
1901.0,0.20330402344790835,4.0,0,0.09849897859490185,0.09849897859490185,,0,0,1,0,0,0,0,3,9.157071428571427
1882.0,0.19690913935518253,0.0,1,0.33195665689670484,0.09272581934452438,,0,0,0,0,0,1,0,1,1.3050476190476192
1935.7,0.02602362554400924,6.0,1,0.2981170619060307,0.08775202060573763,,1,0,0,0,0,0,0,1,1.3922222222222222
1882.0,0.06297184474642509,5.0,1,0.030375699440447643,0.028244071409539037,24288.0,0,0,0,0,0,1,0,1,2.215
1901.0,0.19690913935518253,2.0,1,0.2981170619060307,0.09965361044497735,,0,0,1,0,0,0,0,8,4.67381746031746
1776.9,0.09960920152766675,3.0,0,0.33195665689670484,0.09272581934452438,34.95,0,0,0,1,0,0,0,1,1.8
1935.7,0.09960920152766675,4.0,0,0.06306066258104627,0.05733191224797939,1037.0,1,0,0,0,0,0,0,1,1.63
1710.8,0.20330402344790835,4.0,1,0.33195665689670484,0.09272581934452438,,0,0,0,0,1,0,0,2,3.0101666666666667
1882.0,0.19690913935518253,4.0,0,0.33195665689670484,0.02655653255173639,,0,0,0,0,0,1,0,1,1.6852500000000001
1710.8,0.23430144773070433,4.0,1,0.33195665689670484,0.09761080024868994,89.79,0,0,0,0,1,0,0,1,1.4950714285714284
1845.8,0.20330402344790835,3.0,0,0.33195665689670484,0.02655653255173639,0.0,0,1,0,0,0,0,0,1,1.02
1882.0,0.19690913935518253,1.0,1,0.049737987387867486,0.033084643396394,,0,0,0,0,0,1,0,1,1.0403333333333336
2094.3,0.19690913935518253,3.0,1,0.2981170619060307,0.08775202060573763,,0,0,0,0,0,0,1,2,2.214349206349206
1710.8,0.19690913935518253,3.0,0,0.09849897859490185,0.09849897859490185,,0,0,0,0,1,0,0,1,1.2990000000000002
2126.5,0.23430144773070433,3.0,0,0.09849897859490185,0.09849897859490185,,0,0,0,0,0,0,0,2,1.2685000000000002
1776.9,0.19690913935518253,6.0,0,0.2981170619060307,0.045607958077982055,19000.0,0,0,0,1,0,0,0,3,4.59
1710.8,0.23430144773070433,5.0,1,0.2981170619060307,0.09965361044497735,,0,0,0,0,1,0,0,6,30.193877705627706
1935.7,0.20330402344790835,6.0,1,0.2981170619060307,0.08775202060573763,,1,0,0,0,0,0,0,26,12.18792568542569
1935.7,0.033084643396394,2.0,1,0.2981170619060307,0.08775202060573763,,1,0,0,0,0,0,0,1,1.4914801587301585
1935.7,0.14175326405542232,6.0,0,0.33195665689670484,0.09761080024868994,1499.9,1,0,0,0,0,0,0,4,4.86
