Average State Income,Contact Method,Age Group,Scam Type,Amount_lost,Number_of_reports,State_New South Wales,State_Northern Territory,State_Queensland,State_South Australia,State_Tasmania,State_Victoria,State_Western Australia,Predicted_Number_of_Reports,Actual_Number_of_Reports
1882.0,0.06297184474642509,3.0,0.07287503330668799,0.0,1,0,0,0,0,0,1,0,1.5879721368176145,1
1901.0,0.14175326405542232,4.0,0.027267075228705924,0.0,1,0,0,1,0,0,0,0,1.2849609081118307,1
1935.7,0.20330402344790835,6.0,0.09272581934452438,0.0,1,1,0,0,0,0,0,0,5.519945543937709,1
1776.9,0.14175326405542232,1.0,0.09761080024868994,153.7,2,0,0,0,1,0,0,0,0.7315466489050008,2
2126.5,0.23430144773070433,0.0,0.033084643396394,0.0,1,0,0,0,0,0,0,0,-1.421875178759287,1
1901.0,0.14175326405542232,2.0,0.09849897859490185,0.0,1,0,0,1,0,0,0,0,2.176631849356246,1
1935.7,0.23430144773070433,3.0,0.09965361044497735,0.0,31,1,0,0,0,0,0,0,42.53635067576136,31
1901.0,0.23430144773070433,4.0,0.027267075228705924,0.0,1,0,0,1,0,0,0,0,3.033546831463213,1
1776.9,0.09960920152766675,2.0,0.09761080024868994,194.68,5,0,0,0,1,0,0,0,0.5355064850262709,5
1901.0,0.20330402344790835,4.0,0.07287503330668799,1200.0,2,0,0,1,0,0,0,0,4.327121768840122,2
1776.9,0.23430144773070433,2.0,0.09965361044497735,0.0,1,0,0,0,1,0,0,0,6.242975593087516,1
1901.0,0.20330402344790835,5.0,0.09272581934452438,0.0,15,0,0,1,0,0,0,0,12.105742895136741,15
1882.0,0.23430144773070433,5.0,0.02655653255173639,0.0,6,0,0,0,0,0,1,0,5.807145902400627,6
1882.0,0.19690913935518253,4.0,0.09761080024868994,0.0,2,0,0,0,0,0,1,0,5.181493705213042,2
1935.7,0.14175326405542232,3.0,0.09965361044497735,0.0,1,1,0,0,0,0,0,0,9.806104165667328,1
1901.0,0.19690913935518253,5.0,0.09965361044497735,20000.0,25,0,0,1,0,0,0,0,47.05280507041753,25
1901.0,0.19690913935518253,5.0,0.06510347277733369,0.0,3,0,0,1,0,0,0,0,4.437093954144824,3
2094.3,0.19690913935518253,2.0,0.09272581934452438,0.0,1,0,0,0,0,0,0,1,2.803262731705655,1
2094.3,0.033084643396394,5.0,0.09849897859490185,0.0,1,0,0,0,0,0,0,1,1.7391584113794347,1
1935.7,0.06297184474642509,0.0,0.08775202060573763,0.0,1,1,0,0,0,0,0,0,1.5120777379340093,1
2094.3,0.09960920152766675,3.0,0.09761080024868994,1100.0,2,0,0,0,0,0,0,1,2.0974056802652,2
1776.9,0.14175326405542232,5.0,0.09965361044497735,16.39,1,0,0,0,1,0,0,0,4.645082888469432,1
1776.9,0.23430144773070433,2.0,0.07287503330668799,0.0,1,0,0,0,1,0,0,0,1.1369035856551768,1
2094.3,0.14175326405542232,0.0,0.09761080024868994,60.9,1,0,0,0,0,0,0,1,0.2792410874255797,1
2126.5,0.20330402344790835,2.0,0.09965361044497735,0.0,6,0,0,0,0,0,0,0,6.281834988451456,6
2094.3,0.033084643396394,2.0,0.09849897859490185,0.0,1,0,0,0,0,0,0,1,0.3977403502902059,1
1901.0,0.23430144773070433,1.0,0.027267075228705924,0.0,1,0,0,1,0,0,0,0,1.1698635708261325,1
1882.0,0.20330402344790835,4.0,0.07287503330668799,0.0,1,0,0,0,0,0,1,0,4.466378266128932,1
1710.8,0.20330402344790835,2.0,0.03250732747135625,0.0,1,0,0,0,0,1,0,0,-0.6278942402356205,1
1901.0,0.09960920152766675,5.0,0.03543831601385558,0.0,1,0,0,1,0,0,0,0,1.1805356764388366,1
1935.7,0.23430144773070433,5.0,0.016653343991473488,0.0,5,1,0,0,0,0,0,0,5.947813810433389,5
1882.0,0.09960920152766675,2.0,0.09849897859490185,89.0,2,0,0,0,0,0,1,0,1.9868507124423838,2
2094.3,0.09960920152766675,4.0,0.045607958077982055,0.0,1,0,0,0,0,0,0,1,0.7392666613065448,1
1710.8,0.14175326405542232,4.0,0.05733191224797939,380.0,1,0,0,0,0,1,0,0,0.2894715176412687,1
1882.0,0.06297184474642509,1.0,0.033084643396394,251181.81,1,0,0,0,0,0,1,0,1.915132662495775,1
2126.5,0.23430144773070433,5.0,0.06510347277733369,0.0,2,0,0,0,0,0,0,0,2.8921925516332627,2
1882.0,0.19690913935518253,2.0,0.027267075228705924,0.0,1,0,0,0,0,0,1,0,1.8326926644837778,1
2094.3,0.09960920152766675,3.0,0.08775202060573763,0.0,1,0,0,0,0,0,0,1,1.2207686119589938,1
1935.7,0.06297184474642509,1.0,0.028244071409539037,3100.0,3,1,0,0,0,0,0,0,1.7420177428105246,3
2094.3,0.20330402344790835,5.0,0.07287503330668799,0.0,1,0,0,0,0,0,0,1,3.90063055259158,1
1901.0,0.14175326405542232,2.0,0.07287503330668799,7145.0,7,0,0,1,0,0,0,0,2.8582092268696844,7
1901.0,0.20330402344790835,0.0,0.024202859934274804,0.0,1,0,0,1,0,0,0,0,1.0566116059882498,1
2094.3,0.23430144773070433,3.0,0.045607958077982055,0.0,2,0,0,0,0,0,0,1,1.2019598621165122,2
1845.8,0.23430144773070433,4.0,0.09965361044497735,0.0,4,0,1,0,0,0,0,0,11.356508601917607,4
1710.8,0.23430144773070433,4.0,0.09965361044497735,0.0,37,0,0,0,0,1,0,0,15.820612438176942,37
1776.9,0.23430144773070433,3.0,0.08775202060573763,0.0,1,0,0,0,1,0,0,0,2.7813801481479805,1
2126.5,0.19690913935518253,2.0,0.08775202060573763,0.0,1,0,0,0,0,0,0,0,2.065955451668923,1
1935.7,0.23430144773070433,4.0,0.09761080024868994,901.0,4,1,0,0,0,0,0,0,9.55590082131121,4
1935.7,0.19690913935518253,4.0,0.07287503330668799,0.0,1,1,0,0,0,0,0,0,3.5762689907494867,1
1901.0,0.06297184474642509,0.0,0.027267075228705924,0.0,1,0,0,1,0,0,0,0,0.4409241013668678,1
1935.7,0.20330402344790835,3.0,0.09849897859490185,0.0,10,1,0,0,0,0,0,0,7.728203145621507,10
1935.7,0.19690913935518253,2.0,0.033084643396394,0.0,2,1,0,0,0,0,0,0,1.7521225925426849,2
1882.0,0.20330402344790835,1.0,0.08775202060573763,0.0,2,0,0,0,0,0,1,0,4.761538797638909,2
1882.0,0.20330402344790835,4.0,0.06510347277733369,0.0,1,0,0,0,0,0,1,0,4.466378266128932,1
1901.0,0.20330402344790835,3.0,0.09849897859490185,0.0,3,0,0,1,0,0,0,0,6.76873139764755,3
1882.0,0.19690913935518253,6.0,0.09272581934452438,0.0,1,0,0,0,0,0,1,0,3.64117872458021,1
1935.7,0.02602362554400924,5.0,0.08775202060573763,0.0,1,1,0,0,0,0,0,0,2.644040421930194,1
1882.0,0.06297184474642509,4.0,0.028244071409539037,24288.0,1,0,0,0,0,0,1,0,2.1865528315025524,1
1901.0,0.19690913935518253,1.0,0.09965361044497735,0.0,8,0,0,1,0,0,0,0,6.016409283905893,8
1776.9,0.09960920152766675,2.0,0.09272581934452438,34.95,1,0,0,0,1,0,0,0,0.5932079617440927,1
1935.7,0.09960920152766675,3.0,0.05733191224797939,1037.0,1,1,0,0,0,0,0,0,2.2161502611439428,1
1710.8,0.20330402344790835,3.0,0.09272581934452438,0.0,2,0,0,0,0,1,0,0,3.5815457976479315,2
1882.0,0.19690913935518253,3.0,0.02655653255173639,0.0,1,0,0,0,0,0,1,0,1.920363213731232,1
1710.8,0.23430144773070433,3.0,0.09761080024868994,89.79,1,0,0,0,0,1,0,0,2.419902077676693,1
1845.8,0.20330402344790835,2.0,0.02655653255173639,0.0,1,0,1,0,0,0,0,0,-0.813082094989625,1
1882.0,0.19690913935518253,0.0,0.033084643396394,0.0,1,0,0,0,0,0,1,0,1.128853847981531,1
2094.3,0.19690913935518253,2.0,0.08775202060573763,0.0,2,0,0,0,0,0,0,1,2.6759007348939443,2
1710.8,0.19690913935518253,2.0,0.09849897859490185,0.0,1,0,0,0,0,1,0,0,1.7024493244756034,1
2126.5,0.23430144773070433,2.0,0.09849897859490185,0.0,2,0,0,0,0,0,0,0,2.250103375115886,2
1776.9,0.19690913935518253,5.0,0.045607958077982055,19000.0,3,0,0,0,1,0,0,0,2.2648339507708766,3
1710.8,0.23430144773070433,4.0,0.09965361044497735,0.0,6,0,0,0,0,1,0,0,15.820612438176942,6
1935.7,0.20330402344790835,5.0,0.08775202060573763,0.0,26,1,0,0,0,0,0,0,9.691810279344942,26
1935.7,0.033084643396394,1.0,0.08775202060573763,0.0,1,1,0,0,0,0,0,0,1.9383367337677109,1
1935.7,0.14175326405542232,5.0,0.09761080024868994,1499.9,4,1,0,0,0,0,0,0,7.223114004001436,4
1935.7,0.14175326405542232,0.0,0.02655653255173639,100.0,1,1,0,0,0,0,0,0,0.7875948840516963,1
1901.0,0.06297184474642509,1.0,0.05733191224797939,510.0,1,0,0,1,0,0,0,0,1.2635152655062734,1
1935.7,0.23430144773070433,1.0,0.09272581934452438,0.0,2,1,0,0,0,0,0,0,5.912952356462269,2
1935.7,0.20330402344790835,3.0,0.045607958077982055,0.0,1,1,0,0,0,0,0,0,2.98279455353198,1
2094.3,0.14175326405542232,1.0,0.07287503330668799,1350.0,3,0,0,0,0,0,0,1,1.658736185954602,3
1710.8,0.20330402344790835,5.0,0.09849897859490185,0.0,1,0,0,0,0,1,0,0,6.081337933199995,1
1882.0,0.06297184474642509,4.0,0.03543831601385558,10000.0,2,0,0,0,0,0,1,0,2.1865528315025524,2
1901.0,0.23430144773070433,2.0,0.016653343991473488,0.0,1,0,0,1,0,0,0,0,1.4830866906412135,1
1901.0,0.20330402344790835,5.0,0.045607958077982055,0.0,2,0,0,1,0,0,0,0,5.561478070853224,2
2094.3,0.14175326405542232,0.0,0.03250732747135625,0.0,1,0,0,0,0,0,0,1,0.03148965602787547,1
1935.7,0.20330402344790835,2.0,0.024202859934274804,0.0,1,1,0,0,0,0,0,0,2.0955581830826726,1
1882.0,0.20330402344790835,4.0,0.08775202060573763,0.0,4,0,0,0,0,0,1,0,6.536466902778321,4
1901.0,0.23430144773070433,3.0,0.03250732747135625,0.0,2,0,0,1,0,0,0,0,1.8733675754735484,2
1882.0,0.23430144773070433,3.0,0.08775202060573763,0.0,3,0,0,0,0,0,1,0,5.097374206106627,3
2094.3,0.20330402344790835,0.0,0.07287503330668799,130.0,1,0,0,0,0,0,0,1,0.7880743963631399,1
1901.0,0.20330402344790835,5.0,0.09965361044497735,2500.0,111,0,0,1,0,0,0,0,106.14056901115039,111
1935.7,0.09960920152766675,1.0,0.09965361044497735,6893.87,2,1,0,0,0,0,0,0,0.13231923820319685,2
1882.0,0.20330402344790835,0.0,0.08775202060573763,0.0,1,0,0,0,0,0,1,0,3.825122667064767,1
2126.5,0.19690913935518253,2.0,0.033084643396394,0.0,1,0,0,0,0,0,0,0,0.4927754020512416,1
1882.0,0.20330402344790835,1.0,0.07287503330668799,0.0,3,0,0,0,0,0,1,0,2.6914501609895183,3
1882.0,0.20330402344790835,5.0,0.027267075228705924,0.0,1,0,0,0,0,0,1,0,5.620751986885096,1
