Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
65 and over,South Australia,1776.9,Other,Email,0.0,4,6.42
25 - 34,New South Wales,2126.5,"Threats to life, arrest or other",Phone call,,1,1.72
25 - 34,New South Wales,1935.7,Dating and romance,Internet,,2,1.23
25 - 34,New South Wales,1935.7,Classified,Text message,,1,1.42
18 - 24,Victoria,1882.0,False billing,Text message,,1,1.56
45 - 54,Western Australia,2094.3,Identity theft,Email,,2,2.05
25 - 34,South Australia,1776.9,False billing,Email,,1,3.97
25 - 34,New South Wales,2126.5,Phishing,Email,,2,1.15
65 and over,Western Australia,2094.3,Hacking,Email,,4,12.1
25 - 34,New South Wales,1935.7,Other,Email,0.0,1,2.27
45 - 54,Queensland,1901.0,Investment,Mobile apps,8000.0,2,2.26
55 - 64,New South Wales,2126.5,False billing,Email,,5,2.64
55 - 64,South Australia,1776.9,Classified,Social media/Online forums,1000.0,2,2.8
55 - 64,New South Wales,2126.5,Identity theft,Email,,2,1.09
45 - 54,New South Wales,1935.7,Investment,Mobile apps,5400.0,1,1.47
65 and over,New South Wales,1935.7,Other,Social media/Online forums,,1,1.36
35 - 44,Victoria,1882.0,Identity theft,Text message,,1,4.52
65 and over,New South Wales,1935.7,Classified,Social media/Online forums,1000.0,2,2.51
18 - 24,South Australia,1776.9,Jobs and employment,Social media/Online forums,,1,1.12
25 - 34,Western Australia,2094.3,Phishing,Text message,,7,6.4
35 - 44,Queensland,1901.0,Overpayment,Phone call,0.0,2,1.05
55 - 64,Queensland,1901.0,Investment,Phone call,,1,2.35
55 - 64,Queensland,1901.0,Phishing,Text message,179.0,75,52.38
65 and over,New South Wales,2126.5,Phishing,Internet,,1,1.21
18 - 24,Victoria,1882.0,Classified,Text message,,1,1.07
55 - 64,Western Australia,2094.3,Other,Phone call,999.0,6,5.55
25 - 34,Victoria,1882.0,Overpayment,In person,,2,1.03
25 - 34,Victoria,1882.0,False billing,Text message,,3,7.71
25 - 34,New South Wales,1935.7,Hacking,Social media/Online forums,,1,1.03
55 - 64,New South Wales,1935.7,Classified,Email,500.0,2,5.5
25 - 34,Victoria,1882.0,"Threats to life, arrest or other",Email,,2,1.48
45 - 54,New South Wales,1935.7,Online shopping,Social media/Online forums,471.0,5,4.96
35 - 44,Western Australia,2094.3,Investment,Social media/Online forums,,1,1.49
55 - 64,Western Australia,2094.3,Investment,Social media/Online forums,227030.0,3,1.97
55 - 64,Queensland,1901.0,inheritance and unexpected money,Email,0.0,2,2.22
55 - 64,New South Wales,2126.5,Online shopping,Social media/Online forums,69.0,1,1.81
45 - 54,Queensland,1901.0,Hacking,Email,,5,1.05
45 - 54,Victoria,1882.0,Identity theft,Internet,,1,1.26
45 - 54,Queensland,1901.0,Online shopping,Email,34.48,5,2.84
45 - 54,South Australia,1776.9,False billing,Email,4662.0,6,4.8
45 - 54,Queensland,1901.0,False billing,Mail,199.0,1,1.52
55 - 64,Western Australia,2094.3,Other,Text message,,5,4.31
25 - 34,New South Wales,1935.7,inheritance and unexpected money,Social media/Online forums,95000.0,1,1.54
35 - 44,Victoria,1882.0,Hacking,Phone call,,2,1.97
25 - 34,New South Wales,1935.7,Hacking,Phone call,0.0,2,2.65
65 and over,New South Wales,1935.7,Hacking,Internet,,3,2.74
45 - 54,New South Wales,2126.5,Online shopping,Phone call,,1,1.34
45 - 54,Victoria,1882.0,Rebate,Email,,2,1.33
25 - 34,New South Wales,1935.7,"Travel, prizes and lottery",Email,,2,1.15
35 - 44,New South Wales,1935.7,Identity theft,Phone call,,10,5.34
65 and over,Queensland,1901.0,Health and medical products,Internet,,1,1.02
55 - 64,Queensland,1901.0,Classified,Text message,,1,1.97
65 and over,Northern Territory,1845.8,Other,Email,0.0,10,4.39
65 and over,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,,1,1.02
18 - 24,Victoria,1882.0,"Threats to life, arrest or other",Email,,1,1.88
45 - 54,Victoria,1882.0,Identity theft,Phone call,,6,4.46
55 - 64,South Australia,1776.9,Other,Mobile apps,,1,1.03
65 and over,Victoria,1882.0,Online shopping,Internet,840.0,8,4.42
55 - 64,New South Wales,1935.7,Investment,Email,340319.99,4,4.14
65 and over,Queensland,1901.0,Online shopping,Email,583.0,38,45.16
55 - 64,Victoria,1882.0,Online shopping,Text message,,9,9.38
65 and over,Victoria,1882.0,Investment,Text message,,1,2.69
65 and over,New South Wales,1935.7,Dating and romance,Email,,3,7.83
25 - 34,Western Australia,2094.3,Remote access,Social media/Online forums,,1,1.37
55 - 64,Victoria,1882.0,inheritance and unexpected money,Phone call,,1,1.05
65 and over,Queensland,1901.0,Ransomware and malware,Email,0.0,5,2.28
Under 18,Queensland,1901.0,Dating and romance,Social media/Online forums,,2,1.8
25 - 34,Western Australia,2094.3,Overpayment,Phone call,,1,1.05
65 and over,South Australia,1776.9,Investment,Phone call,,1,1.34
65 and over,South Australia,1776.9,Online shopping,Email,61.77,3,4.17
55 - 64,New South Wales,1935.7,Phishing,Email,,65,68.21
25 - 34,Tasmania,1710.8,Remote access,Email,,1,1.09
25 - 34,New South Wales,1935.7,Dating and romance,Social media/Online forums,800.0,3,1.5
55 - 64,New South Wales,1935.7,Other,Email,,8,7.81
35 - 44,Victoria,1882.0,Other,Phone call,,11,5.48
25 - 34,South Australia,1776.9,Remote access,Phone call,,1,1.0
65 and over,New South Wales,2126.5,Online shopping,Social media/Online forums,287.59,1,1.85
65 and over,Queensland,1901.0,Identity theft,Email,800.0,14,13.71
55 - 64,South Australia,1776.9,Identity theft,Phone call,,1,1.93
65 and over,Queensland,1901.0,Phishing,Email,740.0,108,147.04
35 - 44,Victoria,1882.0,Identity theft,Mail,,1,1.34
Under 18,New South Wales,1935.7,Phishing,Email,,2,1.06
45 - 54,Western Australia,2094.3,inheritance and unexpected money,Mail,,1,1.13
55 - 64,Queensland,1901.0,Other,Social media/Online forums,,1,1.45
45 - 54,New South Wales,1935.7,Health and medical products,Text message,,1,1.56
45 - 54,New South Wales,1935.7,Online shopping,Internet,71.88,3,4.18
45 - 54,Queensland,1901.0,Phishing,In person,,2,1.0
25 - 34,Queensland,1901.0,Remote access,Phone call,,3,1.29
Under 18,New South Wales,1935.7,Phishing,Internet,,1,1.12
55 - 64,New South Wales,2126.5,Ransomware and malware,Email,,1,1.37
Under 18,New South Wales,1935.7,Online shopping,Social media/Online forums,60.0,1,3.27
45 - 54,New South Wales,2126.5,Phishing,Phone call,0.0,3,4.05
25 - 34,Tasmania,1710.8,Other,Text message,,1,1.2
55 - 64,Victoria,1882.0,Online shopping,Internet,583.33,8,6.74
25 - 34,New South Wales,2126.5,Other,Email,,1,1.04
55 - 64,New South Wales,1935.7,Other,Email,2.0,4,8.28
35 - 44,Queensland,1901.0,Identity theft,Email,,2,2.98
65 and over,New South Wales,1935.7,False billing,Email,150.0,59,65.56
18 - 24,New South Wales,1935.7,Other,Email,200000.0,1,4.14
35 - 44,Queensland,1901.0,Investment,In person,19000.0,1,1.64
45 - 54,New South Wales,1935.7,Hacking,Email,,3,2.85
45 - 54,Victoria,1882.0,Online shopping,Email,2734.2,6,3.3
35 - 44,Victoria,1882.0,Online shopping,Social media/Online forums,460.34,7,7.09
65 and over,Victoria,1882.0,False billing,Mail,,1,1.01
65 and over,Victoria,1882.0,Ransomware and malware,Internet,,1,1.0
65 and over,New South Wales,1935.7,Investment,Email,157500.0,3,7.5
55 - 64,New South Wales,2126.5,Phishing,Email,,5,4.08
55 - 64,South Australia,1776.9,Investment,Internet,,1,1.25
25 - 34,New South Wales,1935.7,Classified,Internet,101.0,2,1.43
55 - 64,Western Australia,2094.3,Classified,Email,,3,3.75
25 - 34,New South Wales,1935.7,Overpayment,Text message,,1,1.07
18 - 24,Queensland,1901.0,"Travel, prizes and lottery",Email,,1,2.0
18 - 24,New South Wales,1935.7,Remote access,Phone call,695.0,2,1.37
25 - 34,New South Wales,1935.7,Dating and romance,Mobile apps,50000.0,2,1.61
55 - 64,South Australia,1776.9,Jobs and employment,Social media/Online forums,17616.4,1,1.76
18 - 24,Queensland,1901.0,Online shopping,Text message,,1,1.48
18 - 24,Victoria,1882.0,Rebate,Text message,0.0,1,1.41
35 - 44,Queensland,1901.0,Identity theft,In person,0.0,1,1.05
65 and over,Queensland,1901.0,Mobile premium services,Text message,,1,1.96
25 - 34,Victoria,1882.0,False billing,Email,,2,4.09
55 - 64,Queensland,1901.0,Psychic and clairvoyant,In person,,1,1.25
55 - 64,New South Wales,1935.7,Overpayment,Email,0.0,1,1.36
25 - 34,South Australia,1776.9,Mobile premium services,Phone call,,1,1.01
55 - 64,Western Australia,2094.3,Online shopping,Internet,29.0,3,2.03
65 and over,Victoria,1882.0,Mobile premium services,Phone call,,3,1.76
55 - 64,Victoria,1882.0,"Threats to life, arrest or other",Email,,11,2.95
55 - 64,New South Wales,1935.7,Phishing,Social media/Online forums,0.0,1,1.58
25 - 34,Western Australia,2094.3,Overpayment,Phone call,,1,1.05
35 - 44,New South Wales,1935.7,Online shopping,Email,1974.54,5,5.66
45 - 54,South Australia,1776.9,Online shopping,Phone call,,1,1.16
45 - 54,South Australia,1776.9,Classified,Social media/Online forums,15000.0,1,4.35
25 - 34,New South Wales,1935.7,Rebate,Phone call,0.0,1,2.18
65 and over,Tasmania,1710.8,Identity theft,Email,,2,3.85
45 - 54,Victoria,1882.0,Investment,Social media/Online forums,10000.0,2,2.51
65 and over,Western Australia,2094.3,Identity theft,Mail,,2,1.29
65 and over,New South Wales,1935.7,Health and medical products,Email,,1,2.79
65 and over,Queensland,1901.0,Investment,Email,102000.0,6,3.52
65 and over,New South Wales,1935.7,Fake charity,Social media/Online forums,,1,1.0
45 - 54,Victoria,1882.0,Jobs and employment,Email,,1,1.05
55 - 64,New South Wales,1935.7,Jobs and employment,Mobile apps,,1,1.29
65 and over,Victoria,1882.0,False billing,Internet,,2,1.01
35 - 44,Victoria,1882.0,Online shopping,Internet,19213.65,6,7.41
25 - 34,Queensland,1901.0,Investment,Phone call,,1,1.24
55 - 64,Western Australia,2094.3,Dating and romance,Social media/Online forums,,1,1.18
45 - 54,Western Australia,2094.3,Investment,Text message,,1,1.61
45 - 54,South Australia,1776.9,False billing,Mobile apps,,1,1.0
18 - 24,Victoria,1882.0,Identity theft,Internet,,1,1.46
45 - 54,New South Wales,1935.7,Hacking,Text message,,2,3.89
18 - 24,Queensland,1901.0,Pyramid schemes,Social media/Online forums,,1,1.01
25 - 34,Tasmania,1710.8,Online shopping,Email,58.9,1,1.31
45 - 54,South Australia,1776.9,Identity theft,Email,,1,1.27
45 - 54,New South Wales,2126.5,Ransomware and malware,Email,0.0,1,1.1
65 and over,Victoria,1882.0,Online shopping,Social media/Online forums,,5,1.54
18 - 24,Queensland,1901.0,Overpayment,Text message,,1,1.75
65 and over,New South Wales,1935.7,Mobile premium services,Phone call,,2,1.99
25 - 34,Victoria,1882.0,Jobs and employment,Internet,,1,1.31
65 and over,Victoria,1882.0,Online shopping,Internet,114.89,2,3.62
Under 18,Queensland,1901.0,"Travel, prizes and lottery",Social media/Online forums,,1,1.07
65 and over,Queensland,1901.0,Other,Mobile apps,0.0,2,1.06
65 and over,Victoria,1882.0,Rebate,Phone call,,1,1.76
35 - 44,New South Wales,1935.7,Overpayment,Text message,,1,2.64
65 and over,New South Wales,1935.7,Fake charity,Email,0.0,1,4.19
65 and over,Victoria,1882.0,Dating and romance,Internet,,1,1.23
65 and over,Queensland,1901.0,Other,Internet,,1,1.98
65 and over,New South Wales,2126.5,Hacking,Email,,1,1.88
45 - 54,Western Australia,2094.3,Hacking,Mobile apps,,1,1.06
35 - 44,South Australia,1776.9,Online shopping,Mobile apps,,1,1.01
18 - 24,Queensland,1901.0,Online shopping,Social media/Online forums,500.0,2,2.59
25 - 34,Western Australia,2094.3,Identity theft,Phone call,,1,1.95
45 - 54,Queensland,1901.0,Classified,Social media/Online forums,2110.0,4,5.86
55 - 64,New South Wales,1935.7,Investment,Email,6000.0,1,2.55
45 - 54,Victoria,1882.0,Online shopping,Social media/Online forums,1543.88,5,6.4
25 - 34,Queensland,1901.0,Identity theft,Email,,2,2.13
65 and over,Victoria,1882.0,Hacking,Email,10.0,22,12.45
55 - 64,Victoria,1882.0,"Threats to life, arrest or other",Phone call,,1,1.04
55 - 64,Victoria,1882.0,Jobs and employment,Text message,,1,1.78
55 - 64,Tasmania,1710.8,Identity theft,Email,,2,2.72
45 - 54,Queensland,1901.0,Mobile premium services,Phone call,,2,2.03
65 and over,South Australia,1776.9,False billing,Internet,,2,1.0
Under 18,Victoria,1882.0,Phishing,Text message,,4,2.45
25 - 34,Queensland,1901.0,Mobile premium services,Phone call,,4,2.09
65 and over,Victoria,1882.0,Dating and romance,Email,,2,3.88
35 - 44,Western Australia,2094.3,Jobs and employment,Phone call,0.0,1,1.1
45 - 54,New South Wales,1935.7,Phishing,Text message,40000.0,51,64.28
18 - 24,Queensland,1901.0,Investment,Internet,380.0,1,1.27
18 - 24,New South Wales,1935.7,Jobs and employment,Text message,23280.0,4,1.54
65 and over,Northern Territory,1845.8,Hacking,Text message,,1,1.6
25 - 34,New South Wales,2126.5,Remote access,Mobile apps,,1,1.04
35 - 44,Queensland,1901.0,Investment,Mobile apps,41000.0,2,2.11
45 - 54,Victoria,1882.0,Dating and romance,Text message,,1,2.51
35 - 44,New South Wales,1935.7,Identity theft,Email,,3,2.59
18 - 24,Queensland,1901.0,Rebate,Text message,,2,1.86
65 and over,Victoria,1882.0,Phishing,Mail,,1,1.34
35 - 44,Western Australia,2094.3,Investment,Internet,,1,1.22
35 - 44,New South Wales,1935.7,Online shopping,Phone call,250.0,2,1.69
35 - 44,Queensland,1901.0,Identity theft,Mail,,1,2.3
55 - 64,Western Australia,2094.3,Rebate,Email,,7,3.18
35 - 44,Victoria,1882.0,Other,Phone call,320.0,19,8.6
25 - 34,Queensland,1901.0,Overpayment,Email,,1,1.05
25 - 34,Queensland,1901.0,False billing,Internet,484.0,1,1.47
45 - 54,Queensland,1901.0,Rebate,Text message,,4,3.4
65 and over,Victoria,1882.0,Investment,In person,50000.0,1,1.39
65 and over,Victoria,1882.0,Online shopping,Social media/Online forums,300.0,1,4.04
18 - 24,Queensland,1901.0,Online shopping,Social media/Online forums,400.0,3,2.48
25 - 34,New South Wales,1935.7,Classified,Email,,2,1.89
65 and over,Queensland,1901.0,Hacking,Text message,,8,6.18
65 and over,South Australia,1776.9,Investment,In person,450000.0,1,1.75
45 - 54,Victoria,1882.0,Hacking,Text message,280.0,1,2.72
65 and over,Victoria,1882.0,Investment,Phone call,,3,2.94
25 - 34,Queensland,1901.0,Other,Email,,1,1.26
45 - 54,South Australia,1776.9,Identity theft,Phone call,,1,1.51
35 - 44,New South Wales,1935.7,Phishing,Email,0.0,3,12.31
25 - 34,New South Wales,2126.5,False billing,Social media/Online forums,59.95,2,1.29
18 - 24,Victoria,1882.0,Jobs and employment,Phone call,,1,1.0
35 - 44,Queensland,1901.0,Classified,Email,,1,1.62
65 and over,Queensland,1901.0,Dating and romance,Internet,8000.0,1,1.49
65 and over,Queensland,1901.0,Other,Text message,,9,16.54
65 and over,Western Australia,2094.3,Hacking,Email,,7,12.1
18 - 24,Victoria,1882.0,Other,Internet,,1,1.21
25 - 34,New South Wales,1935.7,"Travel, prizes and lottery",Text message,,2,1.9
35 - 44,New South Wales,2126.5,Other,In person,,1,1.0
65 and over,South Australia,1776.9,Online shopping,Email,,2,2.72
45 - 54,Victoria,1882.0,"Threats to life, arrest or other",Text message,0.0,1,1.37
45 - 54,Queensland,1901.0,Pyramid schemes,Phone call,,1,1.17
55 - 64,Western Australia,2094.3,Identity theft,Text message,,1,3.12
45 - 54,Western Australia,2094.3,Other,Text message,,4,5.68
65 and over,Victoria,1882.0,Phishing,Mobile apps,,9,6.05
55 - 64,Northern Territory,1845.8,Phishing,Text message,,4,5.4
55 - 64,New South Wales,1935.7,Identity theft,Text message,,16,7.87
18 - 24,New South Wales,1935.7,Other,Email,800.0,1,2.97
18 - 24,New South Wales,2126.5,Online shopping,Social media/Online forums,,2,1.62
55 - 64,Victoria,1882.0,"Threats to life, arrest or other",Phone call,,1,1.02
55 - 64,Tasmania,1710.8,Identity theft,Phone call,,1,1.44
18 - 24,New South Wales,2126.5,Other,Phone call,,2,1.18
25 - 34,New South Wales,1935.7,Classified,Text message,,1,1.61
35 - 44,Western Australia,2094.3,Phishing,Email,,2,5.27
65 and over,Victoria,1882.0,Identity theft,Email,,15,27.41
35 - 44,Queensland,1901.0,Phishing,Social media/Online forums,,1,1.62
25 - 34,Queensland,1901.0,Dating and romance,Text message,,1,1.2
35 - 44,Victoria,1882.0,False billing,Text message,,14,14.39
18 - 24,Victoria,1882.0,Jobs and employment,Social media/Online forums,1986.0,1,1.68
35 - 44,New South Wales,1935.7,inheritance and unexpected money,Email,,2,1.92
45 - 54,New South Wales,2126.5,Phishing,Text message,,21,9.66
Under 18,Western Australia,2094.3,Overpayment,Social media/Online forums,,1,1.04
55 - 64,New South Wales,1935.7,False billing,Text message,660.0,22,26.24
35 - 44,Queensland,1901.0,Online shopping,Text message,,5,2.34
35 - 44,Queensland,1901.0,Other,Email,,1,2.18
18 - 24,New South Wales,1935.7,Identity theft,Mobile apps,2800.0,1,1.6
25 - 34,Western Australia,2094.3,Online shopping,Text message,,2,3.73
45 - 54,New South Wales,1935.7,Remote access,Phone call,,8,6.36
55 - 64,Queensland,1901.0,Phishing,Mobile apps,0.0,2,1.16
65 and over,New South Wales,2126.5,Phishing,Text message,,22,15.59
65 and over,Victoria,1882.0,Remote access,Email,,6,4.83
25 - 34,Queensland,1901.0,Betting and sports investment,Text message,,1,1.09
35 - 44,South Australia,1776.9,Mobile premium services,Text message,,1,1.06
35 - 44,South Australia,1776.9,Dating and romance,Mobile apps,,1,1.0
25 - 34,Tasmania,1710.8,Jobs and employment,Social media/Online forums,,1,1.08
55 - 64,New South Wales,1935.7,Identity theft,Email,,10,6.93
18 - 24,Western Australia,2094.3,Phishing,Text message,,1,1.69
25 - 34,Victoria,1882.0,Online shopping,Phone call,,1,1.91
55 - 64,Victoria,1882.0,Dating and romance,Phone call,,1,1.04
65 and over,Tasmania,1710.8,False billing,Email,,4,9.15
25 - 34,Tasmania,1710.8,Phishing,Text message,,1,2.84
45 - 54,New South Wales,1935.7,Hacking,Email,,1,2.85
45 - 54,Queensland,1901.0,Other,Mail,,1,1.31
25 - 34,Victoria,1882.0,Classified,Mobile apps,1600.0,3,1.8
35 - 44,Queensland,1901.0,"Threats to life, arrest or other",Phone call,,1,1.66
25 - 34,South Australia,1776.9,Phishing,Email,,1,1.54
25 - 34,South Australia,1776.9,Other,Mail,,1,1.0
25 - 34,Queensland,1901.0,Dating and romance,Internet,350.0,1,1.26
55 - 64,Western Australia,2094.3,Online shopping,Phone call,,3,1.17
45 - 54,South Australia,1776.9,Remote access,Social media/Online forums,2.17,1,1.3
65 and over,Queensland,1901.0,Classified,Email,,3,3.84
65 and over,Queensland,1901.0,Remote access,In person,504.0,1,1.56
35 - 44,Queensland,1901.0,Online shopping,Email,,2,2.45
45 - 54,New South Wales,1935.7,Health and medical products,Internet,404.14,1,1.4
35 - 44,Victoria,1882.0,Investment,Email,258.0,1,2.03
65 and over,Northern Territory,1845.8,False billing,Social media/Online forums,,1,1.1
65 and over,New South Wales,1935.7,Classified,Text message,,1,3.43
45 - 54,Victoria,1882.0,False billing,Phone call,2550.0,4,4.24
35 - 44,New South Wales,1935.7,Hacking,Social media/Online forums,,2,1.52
65 and over,South Australia,1776.9,Hacking,Text message,0.0,3,1.76
25 - 34,Queensland,1901.0,Dating and romance,Internet,300.0,1,1.26
Under 18,South Australia,1776.9,Online shopping,Social media/Online forums,170.0,1,1.88
65 and over,Victoria,1882.0,Dating and romance,Internet,,1,1.05
25 - 34,Victoria,1882.0,Identity theft,Phone call,,4,4.02
25 - 34,Victoria,1882.0,Online shopping,Email,2817.38,4,4.26
65 and over,Victoria,1882.0,Remote access,Text message,,7,4.82
65 and over,Victoria,1882.0,Classified,Email,,5,3.21
35 - 44,New South Wales,1935.7,"Travel, prizes and lottery",Phone call,,1,1.08
25 - 34,Queensland,1901.0,Identity theft,Phone call,,2,3.97
45 - 54,New South Wales,1935.7,Identity theft,Text message,,8,6.83
55 - 64,Queensland,1901.0,Ransomware and malware,Email,,3,1.7
55 - 64,New South Wales,2126.5,Online shopping,Text message,0.0,1,1.52
65 and over,New South Wales,2126.5,"Travel, prizes and lottery",Text message,0.0,1,1.46
65 and over,New South Wales,1935.7,"Travel, prizes and lottery",Mail,,1,1.55
65 and over,Western Australia,2094.3,Phishing,Text message,,51,31.69
45 - 54,South Australia,1776.9,False billing,Email,15832.96,2,6.76
Under 18,Queensland,1901.0,False billing,Text message,,2,1.43
45 - 54,Northern Territory,1845.8,Online shopping,Email,,1,1.06
25 - 34,New South Wales,1935.7,Investment,Internet,10000.0,2,1.41
25 - 34,Victoria,1882.0,Investment,Phone call,,3,1.0
45 - 54,Western Australia,2094.3,Investment,Email,21445.0,4,1.64
25 - 34,Victoria,1882.0,"Threats to life, arrest or other",Text message,0.0,1,1.67
55 - 64,Western Australia,2094.3,Phishing,Email,,44,25.97
18 - 24,Victoria,1882.0,Health and medical products,Text message,,1,1.1
25 - 34,Queensland,1901.0,Jobs and employment,Mobile apps,1271.0,3,1.62
65 and over,Tasmania,1710.8,Phishing,Email,,8,7.12
25 - 34,South Australia,1776.9,"Threats to life, arrest or other",Email,,1,2.35
35 - 44,Victoria,1882.0,Health and medical products,In person,,1,1.0
25 - 34,New South Wales,1935.7,Overpayment,Text message,100.0,1,2.2
25 - 34,Northern Territory,1845.8,Online shopping,Social media/Online forums,39.0,1,1.31
18 - 24,South Australia,1776.9,Identity theft,Text message,,1,1.14
25 - 34,Victoria,1882.0,Investment,Social media/Online forums,242998.66,2,3.49
18 - 24,Queensland,1901.0,Identity theft,Phone call,,1,1.1
65 and over,New South Wales,1935.7,Identity theft,Social media/Online forums,,2,1.48
Under 18,Victoria,1882.0,Identity theft,Internet,,1,1.71
18 - 24,Victoria,1882.0,Phishing,Internet,,1,1.1
65 and over,Queensland,1901.0,Health and medical products,Text message,,2,2.25
65 and over,Western Australia,2094.3,Phishing,Social media/Online forums,,1,1.71
65 and over,Queensland,1901.0,Other,Mail,,1,1.07
35 - 44,Tasmania,1710.8,False billing,Phone call,,1,1.53
45 - 54,Victoria,1882.0,Other,Mobile apps,,1,1.26
35 - 44,New South Wales,1935.7,Jobs and employment,Internet,135000.0,1,3.94
35 - 44,Western Australia,2094.3,False billing,Email,,6,2.15
25 - 34,Queensland,1901.0,False billing,Phone call,,5,3.62
45 - 54,Victoria,1882.0,Hacking,Phone call,,3,3.55
35 - 44,Victoria,1882.0,Phishing,Email,35.0,8,10.76
18 - 24,Northern Territory,1845.8,Online shopping,Internet,450.0,1,2.06
65 and over,Tasmania,1710.8,Phishing,Email,,15,7.12
35 - 44,South Australia,1776.9,Mobile premium services,Phone call,,1,1.02
35 - 44,New South Wales,1935.7,Hacking,In person,0.0,1,1.07
35 - 44,Victoria,1882.0,Classified,Mobile apps,50.0,1,1.82
18 - 24,New South Wales,2126.5,Online shopping,Social media/Online forums,570.0,1,2.05
65 and over,Queensland,1901.0,Phishing,Email,0.0,197,142.34
65 and over,Tasmania,1710.8,Phishing,Text message,,17,15.91
65 and over,Queensland,1901.0,False billing,Email,,40,47.27
35 - 44,Queensland,1901.0,inheritance and unexpected money,Text message,,1,1.39
55 - 64,Queensland,1901.0,Online shopping,Email,0.0,1,2.25
65 and over,Victoria,1882.0,"Travel, prizes and lottery",Mail,,1,1.31
55 - 64,New South Wales,1935.7,Phishing,Social media/Online forums,,1,1.56
65 and over,New South Wales,1935.7,Phishing,Internet,0.0,1,2.38
65 and over,Victoria,1882.0,Other,Internet,,1,3.2
45 - 54,New South Wales,1935.7,False billing,Text message,,17,18.47
45 - 54,South Australia,1776.9,False billing,Text message,,5,1.7
65 and over,Queensland,1901.0,Hacking,Email,400.0,28,15.24
45 - 54,New South Wales,1935.7,Ransomware and malware,Social media/Online forums,,1,1.11
35 - 44,Victoria,1882.0,False billing,Internet,50.0,1,1.29
35 - 44,Northern Territory,1845.8,Online shopping,Internet,110.72,1,2.09
55 - 64,Victoria,1882.0,Identity theft,Mail,,1,1.0
45 - 54,Queensland,1901.0,Investment,Phone call,11800.0,3,2.81
35 - 44,Victoria,1882.0,Phishing,Text message,7350.0,61,43.65
25 - 34,Victoria,1882.0,Jobs and employment,Text message,39351.96,2,2.35
25 - 34,New South Wales,1935.7,Other,Social media/Online forums,50.0,4,2.07
25 - 34,Victoria,1882.0,Identity theft,Social media/Online forums,,1,1.11
35 - 44,New South Wales,2126.5,Mobile premium services,Phone call,,1,1.41
55 - 64,New South Wales,1935.7,Classified,Email,2700.0,5,3.33
35 - 44,Queensland,1901.0,Mobile premium services,Phone call,,2,1.06
35 - 44,New South Wales,1935.7,Overpayment,Internet,,1,1.1
25 - 34,New South Wales,1935.7,Classified,Text message,0.0,5,2.09
45 - 54,New South Wales,1935.7,Online shopping,Text message,0.0,1,3.6
25 - 34,Western Australia,2094.3,Overpayment,Text message,,1,1.07
18 - 24,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,,2,1.03
25 - 34,New South Wales,1935.7,Identity theft,Phone call,,6,4.01
35 - 44,Queensland,1901.0,"Threats to life, arrest or other",Email,,1,1.39
55 - 64,Northern Territory,1845.8,False billing,Email,,1,1.05
25 - 34,Victoria,1882.0,Identity theft,Mobile apps,,1,1.0
35 - 44,New South Wales,1935.7,Health and medical products,Internet,89.95,1,1.0
35 - 44,Western Australia,2094.3,Classified,Mobile apps,,2,1.05
45 - 54,New South Wales,2126.5,Online shopping,Email,200.0,3,1.75
25 - 34,Western Australia,2094.3,Online shopping,Phone call,,1,1.16
25 - 34,Queensland,1901.0,Health and medical products,Internet,29.95,1,1.03
65 and over,New South Wales,1935.7,Online shopping,Social media/Online forums,126.55,4,4.46
25 - 34,Queensland,1901.0,Investment,Social media/Online forums,,1,1.29
55 - 64,Queensland,1901.0,Phishing,Text message,5000.0,71,78.05
18 - 24,Western Australia,2094.3,Remote access,Text message,,1,1.11
65 and over,New South Wales,1935.7,Investment,Internet,,1,3.43
65 and over,Western Australia,2094.3,Identity theft,Email,,7,10.74
65 and over,Queensland,1901.0,"Threats to life, arrest or other",Text message,,2,2.23
35 - 44,Western Australia,2094.3,Dating and romance,Social media/Online forums,,1,1.17
45 - 54,South Australia,1776.9,False billing,Email,,5,3.19
45 - 54,New South Wales,1935.7,Other,Mobile apps,,4,2.2
35 - 44,New South Wales,1935.7,Investment,Internet,100000.0,4,1.82
45 - 54,New South Wales,1935.7,Remote access,Mobile apps,1000.0,1,1.35
45 - 54,Queensland,1901.0,Online shopping,Email,201.77,3,4.6
25 - 34,South Australia,1776.9,Phishing,Phone call,,3,2.0
65 and over,Queensland,1901.0,Hacking,Email,,41,12.26
25 - 34,Victoria,1882.0,Rebate,Internet,2400.0,1,1.36
35 - 44,Western Australia,2094.3,inheritance and unexpected money,Phone call,,1,1.06
35 - 44,New South Wales,1935.7,Other,Internet,135.99,1,1.64
45 - 54,New South Wales,1935.7,Identity theft,Phone call,,5,5.72
25 - 34,New South Wales,1935.7,Phishing,Email,4000.0,6,6.89
35 - 44,Victoria,1882.0,Online shopping,Social media/Online forums,1230.0,5,6.68
35 - 44,Victoria,1882.0,Hacking,Phone call,,1,1.97
55 - 64,Tasmania,1710.8,Other,Email,,2,1.3
18 - 24,New South Wales,1935.7,Jobs and employment,Social media/Online forums,500.0,4,1.51
45 - 54,Queensland,1901.0,"Threats to life, arrest or other",Email,,2,1.51
