Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
55 - 64,Northern Territory,1845.8,Dating and romance,Internet,0,1,0
55 - 64,New South Wales,2126.5,Classified,Social media/Online forums,50,1,0.59
35 - 44,Western Australia,2094.3,Identity theft,Email,0,4,3.37
35 - 44,Queensland,1901,Classified,Social media/Online forums,1620,2,2.83
25 - 34,New South Wales,1935.7,Investment,Internet,10061.08,1,1.88
18 - 24,Victoria,1882,Dating and romance,Social media/Online forums,1500,2,1.86
45 - 54,South Australia,1776.9,Jobs and employment,Text message,0,1,0.55
25 - 34,Northern Territory,1845.8,False billing,Text message,0,1,1.65
65 and over,Victoria,1882,Overpayment,Email,0,2,5.81
18 - 24,Victoria,1882,Rebate,Email,0,1,1.12
65 and over,Victoria,1882,Investment,Email,0,4,6.71
25 - 34,Victoria,1882,Betting and sports investment,Social media/Online forums,12989.95,2,1.93
65 and over,Victoria,1882,Dating and romance,Email,0,3,6.43
18 - 24,New South Wales,1935.7,Investment,Phone call,0,1,1.32
45 - 54,Queensland,1901,Online shopping,Internet,1328.78,6,3.32
25 - 34,Tasmania,1710.8,Other,Text message,0,1,1.25
55 - 64,South Australia,1776.9,Identity theft,Text message,0,2,3.63
45 - 54,New South Wales,2126.5,Identity theft,Text message,0,1,2.42
45 - 54,Western Australia,2094.3,Remote access,Text message,0,1,1.56
55 - 64,Tasmania,1710.8,Phishing,Phone call,0,6,0.43
55 - 64,Western Australia,2094.3,Phishing,Phone call,0,4,6.47
25 - 34,Victoria,1882,Mobile premium services,Phone call,0,1,1.49
65 and over,Victoria,1882,inheritance and unexpected money,Mobile apps,0,1,1.2
Under 18,Queensland,1901,Mobile premium services,Phone call,0,1,0.23
25 - 34,Victoria,1882,Phishing,Phone call,7000,13,9.83
55 - 64,Victoria,1882,Phishing,Social media/Online forums,45000,1,12.27
35 - 44,Victoria,1882,Other,In person,0,1,1.69
65 and over,Western Australia,2094.3,"Travel, prizes and lottery",Text message,0,1,2.78
25 - 34,South Australia,1776.9,Health and medical products,Email,0,1,0
25 - 34,New South Wales,2126.5,Phishing,Phone call,0,2,0
65 and over,New South Wales,2126.5,Other,Text message,0,2,5.98
55 - 64,Northern Territory,1845.8,False billing,Email,0,1,3.63
55 - 64,Victoria,1882,Health and medical products,Email,0,1,3.17
45 - 54,South Australia,1776.9,False billing,Internet,9878,1,2.47
35 - 44,Victoria,1882,Dating and romance,Social media/Online forums,335,5,1.5
35 - 44,New South Wales,1935.7,False billing,Mail,0,1,2.4
45 - 54,Victoria,1882,"Travel, prizes and lottery",Text message,0,1,2.57
65 and over,South Australia,1776.9,Classified,Email,0,1,4.96
45 - 54,Western Australia,2094.3,Rebate,Phone call,0,1,1.02
65 and over,South Australia,1776.9,False billing,Email,0,10,9.79
55 - 64,New South Wales,1935.7,Health and medical products,Text message,0,2,3.49
25 - 34,Queensland,1901,Classified,Text message,0,1,2.36
65 and over,Victoria,1882,"Threats to life, arrest or other",Email,0,3,6.43
35 - 44,Western Australia,2094.3,Remote access,Phone call,0,2,1.18
25 - 34,Victoria,1882,Other,Email,0,1,4.86
18 - 24,New South Wales,1935.7,Classified,In person,22900,1,2.19
45 - 54,Victoria,1882,Identity theft,Phone call,0,4,3.85
65 and over,New South Wales,2126.5,Phishing,Text message,0,28,33.55
35 - 44,New South Wales,1935.7,Online shopping,Email,471,3,6.81
18 - 24,New South Wales,1935.7,Online shopping,Text message,0,3,5.12
25 - 34,Western Australia,2094.3,False billing,Text message,0,4,4.35
65 and over,Victoria,1882,Remote access,Internet,0,2,1.79
45 - 54,New South Wales,1935.7,"Threats to life, arrest or other",Email,0,5,2.35
55 - 64,Western Australia,2094.3,Dating and romance,Text message,300,1,1.83
35 - 44,South Australia,1776.9,Online shopping,Internet,0,1,0.22
45 - 54,Victoria,1882,Mobile premium services,Text message,0,3,2.48
18 - 24,South Australia,1776.9,Dating and romance,Social media/Online forums,0,1,0
45 - 54,Western Australia,2094.3,Investment,Phone call,14815,1,1.71
18 - 24,Victoria,1882,Phishing,Phone call,32021,1,7.09
45 - 54,New South Wales,1935.7,Phishing,Mobile apps,0,1,6.7
45 - 54,Queensland,1901,Classified,Social media/Online forums,2671,6,2.94
65 and over,South Australia,1776.9,"Threats to life, arrest or other",Email,0,1,3.7
35 - 44,New South Wales,1935.7,Remote access,Phone call,0,8,2.03
55 - 64,Northern Territory,1845.8,Online shopping,Social media/Online forums,0,1,0.54
65 and over,New South Wales,2126.5,Other,Email,0,2,6.42
18 - 24,South Australia,1776.9,Online shopping,Mobile apps,0,1,0
25 - 34,New South Wales,1935.7,Classified,Text message,0,1,2.77
55 - 64,Victoria,1882,Classified,Mobile apps,0,1,1.68
45 - 54,Western Australia,2094.3,Phishing,Text message,0,18,18.8
45 - 54,Queensland,1901,Health and medical products,Social media/Online forums,179.96,1,1.21
55 - 64,Queensland,1901,Identity theft,Text message,806.98,5,6.41
35 - 44,New South Wales,2126.5,Phishing,Email,0,1,3.03
18 - 24,Queensland,1901,Overpayment,Mobile apps,115,1,0.52
45 - 54,Victoria,1882,Classified,Mobile apps,250,2,1.73
65 and over,Queensland,1901,Remote access,Email,189,5,7.38
35 - 44,New South Wales,1935.7,Hacking,Text message,0,1,3.26
35 - 44,Victoria,1882,Investment,Internet,0,1,1.44
55 - 64,Victoria,1882,Hacking,Internet,0,2,1.77
25 - 34,Queensland,1901,Phishing,Email,0,2,17.62
45 - 54,Western Australia,2094.3,Identity theft,Phone call,0,4,2.79
65 and over,Queensland,1901,Investment,Social media/Online forums,397656,3,2.6
25 - 34,Victoria,1882,Online shopping,Internet,1614.84,6,3.02
25 - 34,Western Australia,2094.3,False billing,Email,0,2,3.89
65 and over,Victoria,1882,Ransomware and malware,Mail,0,1,1.2
45 - 54,Victoria,1882,Online shopping,Internet,8527.44,7,3.92
35 - 44,New South Wales,1935.7,Remote access,Phone call,0,3,2.03
65 and over,Northern Territory,1845.8,Other,Text message,0,2,5.25
65 and over,Queensland,1901,Other,Text message,0,19,11.73
35 - 44,Victoria,1882,Rebate,Text message,0,1,2.26
35 - 44,New South Wales,1935.7,Rebate,Email,0,1,1.82
35 - 44,Queensland,1901,Classified,Text message,0,2,2.85
35 - 44,South Australia,1776.9,"Travel, prizes and lottery",Phone call,4300,1,1.33
55 - 64,New South Wales,1935.7,Hacking,Email,0,8,4.59
55 - 64,Queensland,1901,Online shopping,Email,9350,7,9.26
25 - 34,Victoria,1882,Classified,Internet,810,1,2.14
35 - 44,Queensland,1901,False billing,Mail,0,1,1.79
25 - 34,South Australia,1776.9,Overpayment,Text message,109.95,1,0.03
35 - 44,Northern Territory,1845.8,False billing,Text message,0,1,2.52
55 - 64,New South Wales,1935.7,Fake charity,Phone call,0,1,2.36
65 and over,Western Australia,2094.3,Hacking,Phone call,0,2,2.99
18 - 24,Victoria,1882,False billing,Mail,0,1,1.31
65 and over,Western Australia,2094.3,Identity theft,Email,0,15,6.8
65 and over,South Australia,1776.9,Online shopping,Phone call,0,1,5.07
65 and over,South Australia,1776.9,Rebate,Email,0,1,3.7
35 - 44,Victoria,1882,Identity theft,Mail,0,2,2.01
35 - 44,Victoria,1882,Online shopping,Mobile apps,335,2,2.23
65 and over,Western Australia,2094.3,Ransomware and malware,Email,0,2,2.97
45 - 54,Victoria,1882,Jobs and employment,Mobile apps,0,1,1.19
55 - 64,Victoria,1882,inheritance and unexpected money,Social media/Online forums,6500,2,2.06
45 - 54,New South Wales,1935.7,inheritance and unexpected money,Mail,0,1,1.02
45 - 54,Queensland,1901,Phishing,Phone call,0,9,12.65
55 - 64,Western Australia,2094.3,Phishing,Mobile apps,0,1,0
35 - 44,South Australia,1776.9,Investment,Phone call,0,1,1.02
65 and over,South Australia,1776.9,Overpayment,Social media/Online forums,0,1,0.14
65 and over,New South Wales,1935.7,Ransomware and malware,Email,0,1,5.95
45 - 54,Queensland,1901,Health and medical products,Email,0,1,1.79
35 - 44,New South Wales,1935.7,Rebate,Phone call,0,2,1.75
35 - 44,Western Australia,2094.3,"Threats to life, arrest or other",Phone call,0,1,0.91
55 - 64,South Australia,1776.9,Classified,Social media/Online forums,200,2,1.31
65 and over,Victoria,1882,Other,In person,0,1,3.78
25 - 34,New South Wales,1935.7,Pyramid schemes,Mobile apps,0,1,0.73
35 - 44,Queensland,1901,Overpayment,Text message,0,1,1.84
45 - 54,Victoria,1882,Dating and romance,Email,30000,2,2.53
25 - 34,New South Wales,1935.7,Other,Text message,65,3,6
65 and over,Victoria,1882,Online shopping,Email,0,22,12.5
65 and over,South Australia,1776.9,Online shopping,Social media/Online forums,259.9,3,3.57
55 - 64,Victoria,1882,Other,Phone call,0,12,5.18
35 - 44,Western Australia,2094.3,Investment,Social media/Online forums,0,2,0.83
55 - 64,Queensland,1901,Identity theft,Text message,0,5,6.2
65 and over,Victoria,1882,Dating and romance,Email,0,3,6.43
25 - 34,Western Australia,2094.3,False billing,Text message,350,5,4.34
55 - 64,Western Australia,2094.3,Identity theft,Phone call,0,2,3.2
35 - 44,New South Wales,2126.5,Phishing,Email,0,3,3.03
35 - 44,Western Australia,2094.3,Overpayment,Phone call,0,1,0.88
55 - 64,Victoria,1882,Online shopping,Email,97,2,8.59
55 - 64,South Australia,1776.9,Online shopping,Email,0,2,5.05
45 - 54,Queensland,1901,inheritance and unexpected money,Text message,0,1,2.14
25 - 34,Victoria,1882,Online shopping,Social media/Online forums,848.77,8,3.26
18 - 24,Victoria,1882,False billing,Phone call,0,1,2.8
55 - 64,Victoria,1882,Investment,Text message,0,1,3.82
55 - 64,New South Wales,1935.7,Other,Text message,0,5,9.34
65 and over,New South Wales,1935.7,Hacking,Mobile apps,0,1,2.07
18 - 24,Queensland,1901,Other,Text message,0,1,4.38
35 - 44,Victoria,1882,False billing,Mobile apps,0,1,2.06
55 - 64,New South Wales,1935.7,Jobs and employment,Email,0,1,3.51
18 - 24,Victoria,1882,Health and medical products,Text message,0,1,1.39
65 and over,New South Wales,2126.5,Phishing,Text message,2500,16,70.89
45 - 54,Queensland,1901,Dating and romance,Internet,4500,2,1.79
18 - 24,New South Wales,1935.7,Classified,Mobile apps,0,1,1.03
55 - 64,Queensland,1901,Remote access,Phone call,0,4,2.3
25 - 34,Western Australia,2094.3,Online shopping,Email,200,1,3.31
18 - 24,Victoria,1882,False billing,Internet,1045,1,2.38
65 and over,Victoria,1882,Online shopping,Email,0,3,12.5
Under 18,South Australia,1776.9,Mobile premium services,Internet,514,1,0
55 - 64,South Australia,1776.9,"Travel, prizes and lottery",Email,0,1,1.24
45 - 54,Queensland,1901,Identity theft,Phone call,0,2,3.52
65 and over,Tasmania,1710.8,Hacking,Text message,0,2,2.58
35 - 44,Victoria,1882,Dating and romance,Social media/Online forums,0,2,1.32
55 - 64,New South Wales,2126.5,Other,Phone call,0,1,2.11
65 and over,South Australia,1776.9,Hacking,Phone call,0,1,2.85
65 and over,South Australia,1776.9,False billing,Phone call,0,3,5.44
25 - 34,New South Wales,1935.7,False billing,In person,40000,1,3.65
35 - 44,Tasmania,1710.8,Phishing,Text message,0,8,2.9
45 - 54,Western Australia,2094.3,Investment,In person,46493.63,2,1.42
35 - 44,Western Australia,2094.3,Identity theft,Internet,0,1,1.25
55 - 64,Victoria,1882,Fake charity,Phone call,0,1,2.22
25 - 34,New South Wales,1935.7,Overpayment,Internet,0,1,0.56
55 - 64,New South Wales,1935.7,"Threats to life, arrest or other",Internet,0,1,1.19
55 - 64,New South Wales,2126.5,Investment,Social media/Online forums,0,1,0.28
55 - 64,Western Australia,2094.3,Jobs and employment,Text message,0,1,1.95
65 and over,Tasmania,1710.8,Remote access,Internet,0,1,0
35 - 44,Queensland,1901,Fake charity,Email,0,1,1.48
65 and over,Queensland,1901,"Threats to life, arrest or other",Social media/Online forums,25000,1,2.32
65 and over,Tasmania,1710.8,Classified,Social media/Online forums,74,1,0.7
55 - 64,Western Australia,2094.3,Identity theft,Text message,0,4,4.8
65 and over,New South Wales,1935.7,Other,Phone call,0,21,8.24
65 and over,New South Wales,1935.7,"Travel, prizes and lottery",Text message,0,1,5.76
18 - 24,Victoria,1882,Other,Phone call,0,1,2.48
65 and over,Tasmania,1710.8,Phishing,Email,0,11,33.03
25 - 34,Tasmania,1710.8,False billing,Phone call,0,1,1.77
35 - 44,Western Australia,2094.3,Phishing,Email,0,2,8.58
35 - 44,Queensland,1901,Jobs and employment,Mobile apps,0,1,0.95
65 and over,Tasmania,1710.8,Other,Internet,1.62,1,1.09
18 - 24,Victoria,1882,Identity theft,Email,85.01,1,3.47
65 and over,South Australia,1776.9,Other,Email,0,4,8.79
25 - 34,New South Wales,2126.5,"Threats to life, arrest or other",Phone call,0,1,0.3
25 - 34,New South Wales,1935.7,Dating and romance,Internet,0,2,0.59
25 - 34,New South Wales,1935.7,Classified,Text message,0,1,2.77
18 - 24,Victoria,1882,False billing,Text message,0,1,5.03
45 - 54,Western Australia,2094.3,Identity theft,Email,0,2,3.68
25 - 34,South Australia,1776.9,False billing,Email,0,1,3.19
25 - 34,New South Wales,2126.5,Phishing,Email,0,2,0.31
65 and over,Western Australia,2094.3,Hacking,Email,0,4,4.71
25 - 34,New South Wales,1935.7,Other,Email,0,1,5.27
45 - 54,Queensland,1901,Investment,Mobile apps,8000,2,2.04
55 - 64,New South Wales,2126.5,False billing,Email,0,5,4.17
55 - 64,South Australia,1776.9,Classified,Social media/Online forums,1000,2,1.84
55 - 64,New South Wales,2126.5,Identity theft,Email,0,2,2.62
45 - 54,New South Wales,1935.7,Investment,Mobile apps,5400,1,2.14
65 and over,New South Wales,1935.7,Other,Social media/Online forums,0,1,5.98
35 - 44,Victoria,1882,Identity theft,Text message,0,1,5.25
65 and over,New South Wales,1935.7,Classified,Social media/Online forums,1000,2,4.04
18 - 24,South Australia,1776.9,Jobs and employment,Social media/Online forums,0,1,0
25 - 34,Western Australia,2094.3,Phishing,Text message,0,7,8.48
35 - 44,Queensland,1901,Overpayment,Phone call,0,2,1.47
55 - 64,Queensland,1901,Investment,Phone call,0,1,2.3
55 - 64,Queensland,1901,Phishing,Text message,179,75,40.53
65 and over,New South Wales,2126.5,Phishing,Internet,0,1,0
18 - 24,Victoria,1882,Classified,Text message,0,1,2.31
55 - 64,Western Australia,2094.3,Other,Phone call,999,6,3.76
25 - 34,Victoria,1882,Overpayment,In person,0,2,0.87
25 - 34,Victoria,1882,False billing,Text message,0,3,5.97
25 - 34,New South Wales,1935.7,Hacking,Social media/Online forums,0,1,1.9
55 - 64,New South Wales,1935.7,Classified,Email,500,2,4.69
25 - 34,Victoria,1882,"Threats to life, arrest or other",Email,0,2,1.5
45 - 54,New South Wales,1935.7,Online shopping,Social media/Online forums,471,5,4.2
35 - 44,Western Australia,2094.3,Investment,Social media/Online forums,0,1,0.83
55 - 64,Western Australia,2094.3,Investment,Social media/Online forums,227030,3,1.78
55 - 64,Queensland,1901,inheritance and unexpected money,Email,0,2,2.83
55 - 64,New South Wales,2126.5,Online shopping,Social media/Online forums,69,1,0.83
45 - 54,Queensland,1901,Hacking,Email,0,5,2.79
45 - 54,Victoria,1882,Identity theft,Internet,0,1,2.12
45 - 54,Queensland,1901,Online shopping,Email,34.48,5,6.04
45 - 54,South Australia,1776.9,False billing,Email,4662,6,5.32
45 - 54,Queensland,1901,False billing,Mail,199,1,2.2
55 - 64,Western Australia,2094.3,Other,Text message,0,5,6.13
25 - 34,New South Wales,1935.7,inheritance and unexpected money,Social media/Online forums,95000,1,1.85
35 - 44,Victoria,1882,Hacking,Phone call,0,2,2.75
25 - 34,New South Wales,1935.7,Hacking,Phone call,0,2,2.42
65 and over,New South Wales,1935.7,Hacking,Internet,0,3,2.52
45 - 54,New South Wales,2126.5,Online shopping,Phone call,0,1,1.76
45 - 54,Victoria,1882,Rebate,Email,0,2,2.21
25 - 34,New South Wales,1935.7,"Travel, prizes and lottery",Email,0,2,1.42
35 - 44,New South Wales,1935.7,Identity theft,Phone call,0,10,4.14
65 and over,Queensland,1901,Health and medical products,Internet,0,1,0.82
55 - 64,Queensland,1901,Classified,Text message,0,1,4.13
65 and over,Northern Territory,1845.8,Other,Email,0,10,5.69
65 and over,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,0,1,3.66
18 - 24,Victoria,1882,"Threats to life, arrest or other",Email,0,1,1.12
45 - 54,Victoria,1882,Identity theft,Phone call,0,6,3.85
55 - 64,South Australia,1776.9,Other,Mobile apps,0,1,0.79
65 and over,Victoria,1882,Online shopping,Internet,840,8,5.36
55 - 64,New South Wales,1935.7,Investment,Email,340319.99,4,4
65 and over,Queensland,1901,Online shopping,Email,583,38,17.29
55 - 64,Victoria,1882,Online shopping,Text message,0,9,8.71
65 and over,Victoria,1882,Investment,Text message,0,1,5.9
65 and over,New South Wales,1935.7,Dating and romance,Email,0,3,6.57
25 - 34,Western Australia,2094.3,Remote access,Social media/Online forums,0,1,0.51
55 - 64,Victoria,1882,inheritance and unexpected money,Phone call,0,1,2.22
65 and over,Queensland,1901,Ransomware and malware,Email,0,5,5.47
Under 18,Queensland,1901,Dating and romance,Social media/Online forums,0,2,0
25 - 34,Western Australia,2094.3,Overpayment,Phone call,0,1,0.56
65 and over,South Australia,1776.9,Investment,Phone call,0,1,1.86
65 and over,South Australia,1776.9,Online shopping,Email,61.77,3,8.79
55 - 64,New South Wales,1935.7,Phishing,Email,0,65,51.43
25 - 34,Tasmania,1710.8,Remote access,Email,0,1,0
25 - 34,New South Wales,1935.7,Dating and romance,Social media/Online forums,800,3,1.7
55 - 64,New South Wales,1935.7,Other,Email,0,8,8.78
35 - 44,Victoria,1882,Other,Phone call,0,11,3.69
25 - 34,South Australia,1776.9,Remote access,Phone call,0,1,0.7
65 and over,New South Wales,2126.5,Online shopping,Social media/Online forums,287.59,1,2.04
65 and over,Queensland,1901,Identity theft,Email,800,14,13.99
55 - 64,South Australia,1776.9,Identity theft,Phone call,0,1,2.16
65 and over,Queensland,1901,Phishing,Email,740,108,78.35
35 - 44,Victoria,1882,Identity theft,Mail,0,1,2.01
Under 18,New South Wales,1935.7,Phishing,Email,0,2,16.64
45 - 54,Western Australia,2094.3,inheritance and unexpected money,Mail,0,1,0.47
55 - 64,Queensland,1901,Other,Social media/Online forums,0,1,3.44
45 - 54,New South Wales,1935.7,Health and medical products,Text message,0,1,2.62
45 - 54,New South Wales,1935.7,Online shopping,Internet,71.88,3,2.72
45 - 54,Queensland,1901,Phishing,In person,0,2,2.97
25 - 34,Queensland,1901,Remote access,Phone call,0,3,1.45
Under 18,New South Wales,1935.7,Phishing,Internet,0,1,0
55 - 64,New South Wales,2126.5,Ransomware and malware,Email,0,1,0
Under 18,New South Wales,1935.7,Online shopping,Social media/Online forums,60,1,1.98
45 - 54,New South Wales,2126.5,Phishing,Phone call,0,3,3.8
25 - 34,Tasmania,1710.8,Other,Text message,0,1,1.25
55 - 64,Victoria,1882,Online shopping,Internet,583.33,8,3.68
25 - 34,New South Wales,2126.5,Other,Email,0,1,1.51
55 - 64,New South Wales,1935.7,Other,Email,2,4,8.78
35 - 44,Queensland,1901,Identity theft,Email,0,2,4.46
65 and over,New South Wales,1935.7,False billing,Email,150,59,13.72
18 - 24,New South Wales,1935.7,Other,Email,200000,1,6.07
35 - 44,Queensland,1901,Investment,In person,19000,1,2.07
45 - 54,New South Wales,1935.7,Hacking,Email,0,3,3.42
45 - 54,Victoria,1882,Online shopping,Email,2734.2,6,7.48
35 - 44,Victoria,1882,Online shopping,Social media/Online forums,460.34,7,3.13
65 and over,Victoria,1882,False billing,Mail,0,1,4.15
65 and over,Victoria,1882,Ransomware and malware,Internet,0,1,1.16
65 and over,New South Wales,1935.7,Investment,Email,157500,3,17.16
55 - 64,New South Wales,2126.5,Phishing,Email,0,5,18.37
55 - 64,South Australia,1776.9,Investment,Internet,0,1,0.13
25 - 34,New South Wales,1935.7,Classified,Internet,101,2,1.3
55 - 64,Western Australia,2094.3,Classified,Email,0,3,2.56
25 - 34,New South Wales,1935.7,Overpayment,Text message,0,1,1.7
18 - 24,Queensland,1901,"Travel, prizes and lottery",Email,0,1,0.79
18 - 24,New South Wales,1935.7,Remote access,Phone call,695,2,1.82
25 - 34,New South Wales,1935.7,Dating and romance,Mobile apps,50000,2,1.77
55 - 64,South Australia,1776.9,Jobs and employment,Social media/Online forums,17616.4,1,1.1
18 - 24,Queensland,1901,Online shopping,Text message,0,1,4.38
18 - 24,Victoria,1882,Rebate,Text message,0,1,1.48
35 - 44,Queensland,1901,Identity theft,In person,0,1,1.74
65 and over,Queensland,1901,Mobile premium services,Text message,0,1,4.66
25 - 34,Victoria,1882,False billing,Email,0,2,5.51
55 - 64,Queensland,1901,Psychic and clairvoyant,In person,0,1,0.87
55 - 64,New South Wales,1935.7,Overpayment,Email,0,1,3.31
25 - 34,South Australia,1776.9,Mobile premium services,Phone call,0,1,0.57
55 - 64,Western Australia,2094.3,Online shopping,Internet,29,3,1.11
65 and over,Victoria,1882,Mobile premium services,Phone call,0,3,2.95
55 - 64,Victoria,1882,"Threats to life, arrest or other",Email,0,11,3.37
55 - 64,New South Wales,1935.7,Phishing,Social media/Online forums,0,1,10.56
25 - 34,Western Australia,2094.3,Overpayment,Phone call,0,1,0.56
35 - 44,New South Wales,1935.7,Online shopping,Email,1974.54,5,7.24
45 - 54,South Australia,1776.9,Online shopping,Phone call,0,1,2.42
45 - 54,South Australia,1776.9,Classified,Social media/Online forums,15000,1,2.33
25 - 34,New South Wales,1935.7,Rebate,Phone call,0,1,1.43
65 and over,Tasmania,1710.8,Identity theft,Email,0,2,4.85
45 - 54,Victoria,1882,Investment,Social media/Online forums,10000,2,2.66
65 and over,Western Australia,2094.3,Identity theft,Mail,0,2,1.12
65 and over,New South Wales,1935.7,Health and medical products,Email,0,1,5.95
65 and over,Queensland,1901,Investment,Email,102000,6,16.68
65 and over,New South Wales,1935.7,Fake charity,Social media/Online forums,0,1,1.69
45 - 54,Victoria,1882,Jobs and employment,Email,0,1,2.21
55 - 64,New South Wales,1935.7,Jobs and employment,Mobile apps,0,1,1.13
65 and over,Victoria,1882,False billing,Internet,0,2,4.8
35 - 44,Victoria,1882,Online shopping,Internet,19213.65,6,3.61
25 - 34,Queensland,1901,Investment,Phone call,0,1,1.45
55 - 64,Western Australia,2094.3,Dating and romance,Social media/Online forums,0,1,0.86
45 - 54,Western Australia,2094.3,Investment,Text message,0,1,1.56
45 - 54,South Australia,1776.9,False billing,Mobile apps,0,1,0.83
18 - 24,Victoria,1882,Identity theft,Internet,0,1,1.31
45 - 54,New South Wales,1935.7,Hacking,Text message,0,2,3.78
18 - 24,Queensland,1901,Pyramid schemes,Social media/Online forums,0,1,0.43
25 - 34,Tasmania,1710.8,Online shopping,Email,58.9,1,0.85
45 - 54,South Australia,1776.9,Identity theft,Email,0,1,2.78
45 - 54,New South Wales,2126.5,Ransomware and malware,Email,0,1,0
65 and over,Victoria,1882,Online shopping,Social media/Online forums,0,5,5.35
18 - 24,Queensland,1901,Overpayment,Text message,0,1,1.06
65 and over,New South Wales,1935.7,Mobile premium services,Phone call,0,2,3.09
25 - 34,Victoria,1882,Jobs and employment,Internet,0,1,0.84
65 and over,Victoria,1882,Online shopping,Internet,114.89,2,4.59
Under 18,Queensland,1901,"Travel, prizes and lottery",Social media/Online forums,0,1,0
65 and over,Queensland,1901,Other,Mobile apps,0,2,3.51
65 and over,Victoria,1882,Rebate,Phone call,0,1,3.51
35 - 44,New South Wales,1935.7,Overpayment,Text message,0,1,2.1
65 and over,New South Wales,1935.7,Fake charity,Email,0,1,5.95
65 and over,Victoria,1882,Dating and romance,Internet,0,1,1.52
65 and over,Queensland,1901,Other,Internet,0,1,4.1
65 and over,New South Wales,2126.5,Hacking,Email,0,1,2.89
45 - 54,Western Australia,2094.3,Hacking,Mobile apps,0,1,0.75
35 - 44,South Australia,1776.9,Online shopping,Mobile apps,0,1,0.15
18 - 24,Queensland,1901,Online shopping,Social media/Online forums,500,2,1.92
25 - 34,Western Australia,2094.3,Identity theft,Phone call,0,1,2.27
45 - 54,Queensland,1901,Classified,Social media/Online forums,2110,4,2.94
55 - 64,New South Wales,1935.7,Investment,Email,6000,1,3.73
45 - 54,Victoria,1882,Online shopping,Social media/Online forums,1543.88,5,4.42
25 - 34,Queensland,1901,Identity theft,Email,0,2,3.97
65 and over,Victoria,1882,Hacking,Email,10,22,7.69
55 - 64,Victoria,1882,"Threats to life, arrest or other",Phone call,0,1,2.36
55 - 64,Victoria,1882,Jobs and employment,Text message,0,1,3.55
55 - 64,Tasmania,1710.8,Identity theft,Email,0,2,2.28
45 - 54,Queensland,1901,Mobile premium services,Phone call,0,2,1.59
65 and over,South Australia,1776.9,False billing,Internet,0,2,2.7
Under 18,Victoria,1882,Phishing,Text message,0,4,15.82
25 - 34,Queensland,1901,Mobile premium services,Phone call,0,4,1.15
65 and over,Victoria,1882,Dating and romance,Email,0,2,6.43
35 - 44,Western Australia,2094.3,Jobs and employment,Phone call,0,1,0.91
45 - 54,New South Wales,1935.7,Phishing,Text message,40000,51,58.59
18 - 24,Queensland,1901,Investment,Internet,380,1,0.84
18 - 24,New South Wales,1935.7,Jobs and employment,Text message,23280,4,1.87
65 and over,Northern Territory,1845.8,Hacking,Text message,0,1,1.51
25 - 34,New South Wales,2126.5,Remote access,Mobile apps,0,1,0
35 - 44,Queensland,1901,Investment,Mobile apps,41000,2,2.07
45 - 54,Victoria,1882,Dating and romance,Text message,0,1,2.57
35 - 44,New South Wales,1935.7,Identity theft,Email,0,3,5.2
18 - 24,Queensland,1901,Rebate,Text message,0,2,1.14
65 and over,Victoria,1882,Phishing,Mail,0,1,13.97
35 - 44,Western Australia,2094.3,Investment,Internet,0,1,0.68
35 - 44,New South Wales,1935.7,Online shopping,Phone call,250,2,4.41
35 - 44,Queensland,1901,Identity theft,Mail,0,1,1.74
55 - 64,Western Australia,2094.3,Rebate,Email,0,7,1.77
35 - 44,Victoria,1882,Other,Phone call,320,19,4.13
25 - 34,Queensland,1901,Overpayment,Email,0,1,1.08
25 - 34,Queensland,1901,False billing,Internet,484,1,2.01
45 - 54,Queensland,1901,Rebate,Text message,0,4,2.23
65 and over,Victoria,1882,Investment,In person,50000,1,2.57
65 and over,Victoria,1882,Online shopping,Social media/Online forums,300,1,5.67
18 - 24,Queensland,1901,Online shopping,Social media/Online forums,400,3,1.92
25 - 34,New South Wales,1935.7,Classified,Email,0,2,2.41
65 and over,Queensland,1901,Hacking,Text message,0,8,6.54
65 and over,South Australia,1776.9,Investment,In person,450000,1,1.16
45 - 54,Victoria,1882,Hacking,Text message,280,1,3.56
65 and over,Victoria,1882,Investment,Phone call,0,3,3.79
25 - 34,Queensland,1901,Other,Email,0,1,4.53
45 - 54,South Australia,1776.9,Identity theft,Phone call,0,1,2.13
35 - 44,New South Wales,1935.7,Phishing,Email,0,3,30.56
25 - 34,New South Wales,2126.5,False billing,Social media/Online forums,59.95,2,1.14
18 - 24,Victoria,1882,Jobs and employment,Phone call,0,1,1.13
35 - 44,Queensland,1901,Classified,Email,0,1,2.49
65 and over,Queensland,1901,Dating and romance,Internet,8000,1,1.99
65 and over,Queensland,1901,Other,Text message,0,9,11.73
65 and over,Western Australia,2094.3,Hacking,Email,0,7,4.71
18 - 24,Victoria,1882,Other,Internet,0,1,1.13
25 - 34,New South Wales,1935.7,"Travel, prizes and lottery",Text message,0,2,1.78
35 - 44,New South Wales,2126.5,Other,In person,0,1,0.13
65 and over,South Australia,1776.9,Online shopping,Email,0,2,8.79
45 - 54,Victoria,1882,"Threats to life, arrest or other",Text message,0,1,2.57
45 - 54,Queensland,1901,Pyramid schemes,Phone call,0,1,1.59
55 - 64,Western Australia,2094.3,Identity theft,Text message,0,1,4.8
