Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
65 and over,Northern Territory,1845.8,Phishing,Email,0,8,26.03
65 and over,Western Australia,2094.3,False billing,Email,3973.75,22,20
45 - 54,New South Wales,1935.7,False billing,Text message,0,22,8.1
35 - 44,Northern Territory,1845.8,Rebate,Email,0,1,0
65 and over,New South Wales,1935.7,Investment,Phone call,828209,5,4.33
65 and over,South Australia,1776.9,Identity theft,Phone call,0,1,3.32
65 and over,Tasmania,1710.8,Other,Email,0,2,6.52
65 and over,Queensland,1901,Classified,Mobile apps,0,1,1.79
18 - 24,New South Wales,1935.7,Remote access,Phone call,0,1,1.32
45 - 54,Western Australia,2094.3,Remote access,Email,0,1,1.2
25 - 34,Tasmania,1710.8,Other,Internet,0,1,0
45 - 54,Queensland,1901,"Travel, prizes and lottery",Text message,0,3,2.23
18 - 24,Western Australia,2094.3,Hacking,Phone call,745.77,1,1.2
35 - 44,Queensland,1901,Classified,Phone call,4665,1,3
55 - 64,New South Wales,1935.7,Phishing,Mobile apps,0,1,7.36
25 - 34,Victoria,1882,Online shopping,Mobile apps,0,1,1.36
35 - 44,New South Wales,1935.7,Other,Phone call,0,12,4.09
65 and over,Victoria,1882,False billing,Email,0,29,13.15
65 and over,Queensland,1901,Betting and sports investment,Email,0,1,5.47
35 - 44,New South Wales,1935.7,Hacking,Email,157,4,3
25 - 34,South Australia,1776.9,Identity theft,Internet,0,1,0.13
45 - 54,Victoria,1882,Other,In person,0,2,2
65 and over,Northern Territory,1845.8,Online shopping,Internet,0,1,0.06
45 - 54,Victoria,1882,False billing,Text message,0,46,7.47
18 - 24,Queensland,1901,"Travel, prizes and lottery",Social media/Online forums,74,1,0.52
45 - 54,Victoria,1882,False billing,Text message,0,9,7.47
65 and over,Victoria,1882,False billing,Mail,0,1,4.15
45 - 54,New South Wales,2126.5,Remote access,Phone call,0,1,0.74
18 - 24,New South Wales,2126.5,Classified,Social media/Online forums,1266.5,3,1.11
45 - 54,South Australia,1776.9,Other,Mobile apps,0,1,0.45
45 - 54,Western Australia,2094.3,Classified,Text message,0,1,2.07
35 - 44,Queensland,1901,Other,Internet,0,1,1.5
65 and over,Victoria,1882,Online shopping,Email,118.09,10,12.93
55 - 64,New South Wales,1935.7,Rebate,Text message,0,1,3.69
18 - 24,New South Wales,1935.7,Identity theft,Phone call,0,2,2.8
45 - 54,Victoria,1882,Online shopping,Internet,808.67,5,3.27
65 and over,New South Wales,1935.7,Other,Social media/Online forums,0,2,5.98
65 and over,New South Wales,1935.7,inheritance and unexpected money,Phone call,0,1,3.09
55 - 64,Western Australia,2094.3,Health and medical products,Phone call,0,1,1.3
35 - 44,Queensland,1901,Hacking,Mail,0,1,1.35
65 and over,Queensland,1901,Phishing,Mail,0,1,12.14
25 - 34,Western Australia,2094.3,Identity theft,Text message,0,1,3.34
18 - 24,New South Wales,1935.7,Online shopping,Email,198.15,3,4.91
25 - 34,New South Wales,1935.7,Classified,Mobile apps,350,1,1.46
65 and over,Victoria,1882,False billing,Internet,0,3,4.8
18 - 24,South Australia,1776.9,Phishing,Text message,0,6,0
55 - 64,Victoria,1882,Health and medical products,Social media/Online forums,339.75,1,1.66
45 - 54,Victoria,1882,Classified,Mobile apps,0,1,1.59
